,RP1,RP2,RP3,RP4,RP5,RP6,RP7,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP_sum,LP_mean,LP_std,LP_var,LP_min,LP_max,LP_sma,LP_quantile,LP_median,LP_mad,LP_skew,LP_kurt,RAX,RAY,RAZ,RA_sum,RA_mean,RA_std,RA_var,RA_min,RA_max,RA_sma,RA_quantile,RA_median,RA_mad,RA_skew,LAX,LAY,LAZ,LA_sum,LA_mean,LA_std,LA_var,LA_min,LA_max,LA_sma,LA_quantile,LA_median,LA_mad,LA_skew,label
220,23,31,31,27,27,25,49,36,2,1,8,9,5,5,66,9.428571428571429,12.067271755415454,145.61904761904756,1,36,9.514285714285728,5.0,5.0,7.591836734693879,2.333712546072448,5.765698693794834,120,240,60,420,140.0,91.6515138991168,8400.0,60,240,121.33333333333333,120.0,120.0,66.66666666666667,0.9352195295828246,192,104,72,368,122.66666666666667,62.13962772123223,3861.333333333333,72,192,121.33333333333333,104.0,104.0,46.22222222222223,1.2298092586842262,5
221,22,31,31,27,27,25,49,37,3,1,8,8,5,5,67,9.571428571428571,12.353908192108587,152.61904761904765,1,37,9.571428571428585,5.0,5.0,7.83673469387755,2.4160613668052533,6.10296254146578,80,176,236,492,164.0,78.689262291624,6192.0,80,236,145.06666666666666,176.0,176.0,56.0,-0.670284413787495,0,232,244,476,158.66666666666666,137.5402971253637,18917.333333333336,0,244,124.26666666666665,232.0,232.0,105.77777777777779,-1.7172300271342864,5
222,22,31,30,27,27,25,49,36,2,1,8,8,5,4,64,9.142857142857142,12.143977539348073,147.47619047619048,1,36,9.428571428571441,5.0,5.0,7.673469387755099,2.3787088961232525,5.935138643342178,108,180,180,468,156.0,41.569219381653056,1728.0,108,180,154.66666666666666,180.0,180.0,32.0,-1.7320508075688774,76,12,40,128,42.666666666666664,32.083225108042576,1029.3333333333335,12,76,109.86666666666665,40.0,40.0,22.222222222222218,0.37144328244633085,5
223,22,31,30,27,27,25,49,36,1,1,7,8,5,4,62,8.857142857142858,12.266873704256945,150.47619047619048,1,36,9.314285714285727,5.0,5.0,7.75510204081633,2.382535805568984,5.959862922608554,68,188,116,372,124.0,60.398675482166,3648.0,68,188,152.26666666666665,116.0,116.0,42.666666666666664,0.5855827262813879,244,124,160,528,176.0,61.57921727336261,3792.0,124,244,117.86666666666665,160.0,160.0,45.333333333333336,1.0902905798280034,5
224,22,31,30,28,27,25,49,36,1,1,8,8,5,4,63,9.0,12.24744871391589,150.0,1,36,9.200000000000014,5.0,5.0,7.714285714285714,2.345631377689171,5.810702222222222,68,188,116,372,124.0,60.398675482166,3648.0,68,188,141.59999999999997,116.0,116.0,42.666666666666664,0.5855827262813879,200,76,12,288,96.0,95.58242516278817,9136.0,12,200,119.19999999999997,76.0,76.0,69.33333333333333,0.9003699635359147,5
225,19,31,30,28,26,25,48,36,1,1,8,8,5,4,63,9.0,12.24744871391589,150.0,1,36,9.114285714285728,5.0,5.0,7.714285714285714,2.345631377689171,5.810702222222222,80,200,92,372,124.0,66.09084656743322,4368.0,80,200,138.39999999999998,92.0,92.0,50.666666666666664,1.6680336834432488,248,200,60,508,169.33333333333334,97.67974883942594,9541.333333333332,60,248,128.53333333333333,200.0,200.0,72.88888888888889,-1.2735289472040205,5
226,18,30,30,28,26,25,48,37,1,1,8,8,5,4,64,9.142857142857142,12.615183595289333,159.1428571428571,1,37,9.028571428571443,5.0,5.0,7.959183673469385,2.3625743194301796,5.876715799245121,44,164,36,244,81.33333333333333,71.70309151866002,5141.333333333333,36,164,121.86666666666665,44.0,44.0,55.11111111111111,1.7078263843533399,48,204,228,480,160.0,97.73433378296492,9552.0,48,228,128.8,204.0,204.0,74.66666666666667,-1.6152905598583507,5
227,17,30,29,28,26,24,47,37,1,1,8,8,5,4,64,9.142857142857142,12.615183595289333,159.1428571428571,1,37,9.028571428571443,5.0,5.0,7.959183673469385,2.3625743194301796,5.876715799245121,36,180,224,440,146.66666666666666,98.3327683599589,9669.333333333334,36,224,119.99999999999997,180.0,180.0,73.77777777777779,-1.3501437804997225,96,72,60,228,76.0,18.33030277982336,336.0,60,96,135.46666666666667,72.0,72.0,13.333333333333334,0.9352195295828245,5
228,16,29,29,27,25,24,46,36,1,1,8,8,5,3,62,8.857142857142858,12.321100754783389,151.8095238095238,1,36,9.028571428571443,5.0,5.0,7.75510204081633,2.341165337140085,5.773524698170206,28,196,240,464,154.66666666666666,111.88088904425693,12517.333333333332,28,240,126.1333333333333,196.0,196.0,84.44444444444444,-1.4355762685102136,96,72,60,228,76.0,18.33030277982336,336.0,60,96,115.46666666666667,72.0,72.0,13.333333333333334,0.9352195295828245,5
229,15,29,29,27,25,24,46,37,1,1,8,9,5,3,64,9.142857142857142,12.681069505744528,160.80952380952377,1,37,9.05714285714287,5.0,5.0,7.959183673469385,2.3151519117881127,5.657219258042417,36,252,0,288,96.0,136.29380029920657,18576.0,0,252,120.5333333333333,36.0,36.0,104.0,1.5970969928697365,148,232,100,480,160.0,66.81317235396027,4464.0,100,232,128.26666666666668,148.0,148.0,48.0,0.7821521217295038,5
